Last_name,First_name,Email_address,Zipcode,City,State,Street,Homephone
Nguyen,Allison,arannon@jumpstartlab.com,20010,Washington,DC,3155 19th St NW,6154385000
Hankins,SArah,pinalevitsky@jumpstartlab.com,20009,Washington,DC,2022 15th Street NW,4145205000
Murillo,Sofia,lpohen@jumpstartlab.com,20001,Washington,DC,"702 H St, suite 300",2023192000
Baimas-George,Katie,svsullivan88@jumpstartlab.com,20009,Washington,DC,1123 Harvard St. unit R,6085169000
Endres,Nate,rmaiorana@jumpstartlab.com,20015,NW,DC,3332 Quesada St.,3109024000
Stevenson,Melanie,jebergma@jumpstartlab.com,20010,Washington,DC,3646 Warder St. NW,2022703000
Ortega,Aurora,yfr42@jumpstartlab.com,20024,Washington,DC,520 N St SW,2025543000
Chinana,Justin,ipesha226@jumpstartlab.com,20010,Washington,DC,3321 16th St NW,4349891000
Sachs,Lee,bwd6273@jumpstartlab.com,20017,Washington,DC,1225 Otis St NE,2026352000
Trowbridge,Kristina,oumandrell@jumpstartlab.com,20002,Washington,DC,"110 Maryland Ave., NE, Suite 108",2024816000
Modawal,Sean,ufmPalley@jumpstartlab.com,20009,Washington,DC,1718 Connecticut Ave. NW Suite 300,2022327000
Murphy,Michael,bxthewsm@jumpstartlab.com,20009,Washington,DC,1718 Connecticut Ave. NW Suite 300,2022327000
McLaughlin,Callie,gdacyjamesrossi2@jumpstartlab.com,20017,Washington,DC,"391 Michigan Ave., NE",2025523000
Rotman,Eva,cgngo8456@jumpstartlab.com,20017,Washington,DC,PO Box 29132,2027564000
Taylor,Donna,hmisJohnsonPS@jumpstartlab.com,20007,Washington,DC,1409 37th St NW,2157150000
Fraissinet,Dan,kggoyer@jumpstartlab.com,20057,Washington,DC,"Box #577150, Georgetown Univ.",8504455000
Kristian,William,xokelly@jumpstartlab.com,20011,Washington,DC,812 Randolph St. NW,6036615000
Kurdyla,Jessie,etcooke11@jumpstartlab.com,20008,Washington,DC,"2915 Connecticut Avenue, NW Apt. 207",8059075000
Lade,Sophie,cpagenkn@jumpstartlab.com,20009,Washington,DC,2505 13th St. NW,3214804000
Leung,Lala,vsmcneal@jumpstartlab.com,20009,Washington,DC,2505 13th St. NW,5613391000
Gutbrod,Daryl,tknt.jamie@jumpstartlab.com,20008,Washington,DC,2941 Chesapeake St NW,2022562000
Craig,Megan,nslopuppet_o_o@jumpstartlab.com,20007,Washington,DC,1409 37th St.,9172806000
Xx,Laura,abnedoe3@jumpstartlab.com,20008,Washington,DC,"2601 Woodley Place NW, Apt 813",8026594000
Bryant,Jeannie,kkserpe08@jumpstartlab.com,20008,Washington,DC,"2727 29th Street NW, Apt 305",8457973000
Haut,Rachel,jqisten.greenwald@jumpstartlab.com,20008,Washington,DC,"2727 29th Street NW, Apt. 232",8457973000
Karoluk,Lucia,wonisegarcia666@jumpstartlab.com,20008,Washington,DC,"2727 29th Street NW, Apt. 305",3157500000
